title,author,price
 剪映视频剪辑从小白到大师（电脑版）,龙飞 编著,¥96.00
 WPS Office高效办公一本通：文字·表格·演示·PDF·脑图,博蓄诚品 编著,¥34.50
 Python机器学习基础教程,[德]安德里亚斯,¥39.50
 Excel+Python 飞速搞定数据分析与处理,[瑞士]费利克斯,¥44.90
 人工智能算法图解,[南非] 里沙尔·赫班斯(Rishal Hurbans)著 王晓雷 陈巍卿 译,¥44.00
 Flask Web全栈开发实战,黄勇,¥39.50
 编程启蒙：从Python走进编程世界,李晋 著； 清泉静读 出品,¥26.80
 C#入门经典（第9版）,[德] 本杰明·帕金斯(Benjamin Perkins)，乔恩·D. 里德(Jon D. Reid) 著 齐立博 译,¥59.00
 中文版 LabVIEW 2020 从入门到精通 （实战案例版）（CAD/CAM/CAE微视频讲解大系）labview从零,天工在线,¥88.00
 C#图解教程 第5版,[美] 丹尼尔·索利斯（Daniel Solis）卡尔·施罗坦博尔（Cal Sc,¥64.50
 中文版Rhino 7完全自学教程,姚一鸣,¥127.30
 Web前端开发 HTML5+CSS3+JavaScript+Vue.js+jQuery 网页设计 网页制作 网站建设自学,刘兵 编著,¥88.00
 原子嵌入式Linux驱动开发详解,左忠凯,¥84.50
 地理信息系统Arcgis 从基础到实践 视频案例教学arcgis 10.7编程开发GIS技术开发完全自学教材 大数据地理,闫磊 张海龙 编著,¥42.70
 神经网络与深度学习——基于MATLAB的仿真与实现,姚舜才、李大威,¥44.50
 中文版Illustrator 2022从入门到精通（微课视频全彩版唯美世界）adobe illustrator ai完全,唯美世界瞿颖建,¥125.40
 ae书籍中文版After Effects 2022从入门到精通（微课视频全彩版唯美世界）短视频剪辑教程 影视后期特效 A,"唯美 / 唯美世界 , 曹茂鹏编著",¥125.40
 控制系统建模与仿真——基于MATLAB/Simulink的分析与实现,姜增如,¥39.50
 C#从入门到精通（第7版）,明日科技,¥49.90
 Python神经网络编程,[英]塔里克·拉希德（Tariq Rashid）,¥39.90
 Linux设备驱动程序（第三版）,"（美）科波特（Corbet,J.） 等著，魏永明，耿岳，钟书毅 译",¥31.00
 中文版SketchUp 2022完全实战技术手册,孙英杰 田园 李洋,¥49.50
 BERT基础教程：Transformer大模型实战（一本书读懂火出圈的chatgpt！）,[印] 苏达哈尔桑·拉维昌迪兰（Sudharsan Ravichandiran）,¥44.90
 SQL进阶教程（第2版）,[日]MICK,¥44.90
 动手学深度学习,阿斯顿·张,¥42.50
 C Primer Plus 第6版 中文版习题解答,[美] 史蒂芬,¥44.90
 中文版Photoshop 2022完全自学教程,李金明 李金蓉,¥117.50
 Python树莓派开发从入门到精通,明日科技,¥44.90
 Premiere Pro 2022视频编辑从入门到精通,王楚然、刘天奇,¥59.00
 MATLAB数学建模（第2版）,李昕,¥59.00
 cad cam cae完全自学教程中文版Mastercam2022数控加工从入门到精通 实战案例视频版 masterca,天工在线,¥97.80
 手机短视频Vlog策划、拍摄、剪辑、运营、变现直播带货一本通 剪映短视频剪辑从入门到精通教程 短视频编辑与制作 创业运营,唯美世界 曹茂鹏,¥94.80
 Excel 高效办公 数据处理与分析（第3版）,神龙工作室,¥29.90
 Python青少年趣味编程全彩版 独家配备71集视频教学课程 手机扫码看视频 少儿编程 小学生趣味编程 教孩子学编程 少,张彦 编著,¥66.30
 C++少儿编程轻松学 写给中小学生的零基础教程,左凤鸣,¥39.90
 剪映教程：短视频+Vlog制作一点通视频教学版唯美世界 剪辑书 剪映短视频剪辑从入门到精通 短视频拍摄与制作 手机短视频,唯美世界 曹茂鹏,¥88.00
 机器学习图解,[加] 路易斯·G·塞拉诺（Luis G. Serrano）著 郭涛 译,¥64.00
 ChatGPT AI文案写作从入门到精通,AIGC文画学院 编著,¥86.20
 数据仓库工具箱(第3版)——维度建模权威指南,[美] Ralph，Kimball，[美] Margy，Ross 著，王念滨，周连科，韦正现 译,¥39.50
 Hadoop权威指南：大数据的存储与分析（第4版）,Tom White著 王海，华东，刘喻，吕粤海 译,¥74.00
 说服力 工作型PPT该这样做,秦阳,¥34.90
 图解算法：使用C语言,吴灿铭、胡昭民,¥24.50
 交通时空大数据分析、挖掘与可视化（Python版）,余庆，李玮峰,¥84.50
 完全图解编程原理 零基础入门编程程序设计 编程的百科全书编程思想 一本关于编程的专业科普书 涵盖语言特征 网络知识 数据,增井敏克,¥78.20
 大话存储 新——存储系统底层架构原理极限剖析,张冬,¥99.50
 Linux就该这么学（第2版）,刘遄,¥49.90
 Word最强教科书[完全版] 零基础自学office电脑基础从入门到精通 计算机办公软件快捷操作视频教程书,张栋 著,¥85.30
 高速电路研发与设计典型故障案例解析 一板成功,张晶威,¥19.50
 C++20实践入门（第6版）,[比] 艾弗·霍尔顿(Ivor Horton)，彼得·范·维尔特(Peter Van Weert) 著 周百顺 译,¥79.00
 深度学习计算机视觉,[埃及] 穆罕默德·埃尔根迪(Mohamed Elgendy) 著 刘升容 安丹 郭平平 译,¥64.00
 C语言从入门到精通（第6版）,明日科技,¥39.90
 中文版Excel 2019高级VBA编程宝典(第9版),[美] 迈克尔·亚力山大（Michael Alexander）、迪克·库斯莱卡（Dick Kusleika）著 石磊 译,¥64.00
 四旋翼无人机的制作与飞行,戴凤智，王璇，马文飞 编,¥24.00
